image_id,topic,v1_data_topic,source_id,source_title,publisher,source_url,image_url,local_path,relative_image_path,served_url,alt,caption,near_heading,content_type,content_hash,score,retrieved_at
image:98aeebb23cbf0309,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/media/yootheme/cache/9e/4-9e787e99.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Carer Support-98aeebb23c.webp,images/assets/02_australian_support_services/MND NSW/Carer Support-98aeebb23c.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Carer Support-98aeebb23c.webp,,,Carer Support,image/webp,98aeebb23cbf03097569e60f68756b05edc516cf67abdda952d50b4db3848d43,14,2026-08-31
image:46e7cc431c2e4b74,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/media/yootheme/cache/c4/4-c400b3a6.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Carer Support-46e7cc431c.webp,images/assets/02_australian_support_services/MND NSW/Carer Support-46e7cc431c.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Carer Support-46e7cc431c.webp,,,Carer Support,image/webp,46e7cc431c2e4b74dad0f1661917fb3d02b2c7b583a3a749fc668fa28f3d26e1,14,2026-08-31
image:c86f3ebe49509990,support_services,02_australian_support_services,mnd-qld:home,MND Queensland - Support and specialist services for people impacted by a Motor Neurone Disease (MND) diagnosis,MND Queensland,https://mndaq.org.au/Home.aspx,https://mndqldmndqld.blob.core.windows.net/assets/uploads/img/carousel/Equipment%20Carousel%20Image.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND Queensland\MND Queensland - Support and specialist services for people impacted by a Motor Neurone Disease (MND) diagnosis-c86f3ebe49.jpg,images/assets/02_australian_support_services/MND Queensland/MND Queensland - Support and specialist services for people impacted by a Motor Neurone Disease (MND) diagnosis-c86f3ebe49.jpg,/mnd-data/images/assets/02_australian_support_services/MND Queensland/MND Queensland - Support and specialist services for people impacted by a Motor Neurone Disease (MND) diagnosis-c86f3ebe49.jpg,,,Get Support,image/jpg,c86f3ebe495099906e18be26623f0a782e3093685bf4a7aa129cf1bcbeee2f56,14,2026-08-31
image:65fc4b5586eb7943,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/images/2024/Avo_chock_240_Heading_1.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Two bowels of avocado mousse-65fc4b5586.png,images/assets/02_australian_support_services/MND NSW/Two bowels of avocado mousse-65fc4b5586.png,/mnd-data/images/assets/02_australian_support_services/MND NSW/Two bowels of avocado mousse-65fc4b5586.png,Two bowels of avocado mousse,,Modify foods,image/png,65fc4b5586eb7943547ec9db441ba0a335dfa5732c70078f26f11698acb5698d,13,2026-08-31
image:612e4b5ece3563c2,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/media/yootheme/cache/9e/Avo_chock_240_Heading_1-9e9703e3.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Two bowels of avocado mousse-612e4b5ece.webp,images/assets/02_australian_support_services/MND NSW/Two bowels of avocado mousse-612e4b5ece.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Two bowels of avocado mousse-612e4b5ece.webp,Two bowels of avocado mousse,,Modify foods,image/webp,612e4b5ece3563c269cb3b59cd379bc282cfa192cc67226bb4612a804b12171d,13,2026-08-31
image:58e3a1e3cf694d77,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-scaled.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-58e3a1e3cf.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-58e3a1e3cf.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-58e3a1e3cf.jpg,,,Information and Support,image/jpeg,58e3a1e3cf694d773b50d40ad2c6a4a79054013eae92c9af6d8ee830ab52f7c8,13,2026-08-31
image:a779f95c480fc7d4,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-300x200.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-a779f95c48.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-a779f95c48.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-a779f95c48.jpg,,,Information and Support,image/jpeg,a779f95c480fc7d4eee00ae6f211f8e0c018ef1a056b5c9589b0a753d3762088,13,2026-08-31
image:ba6700e8792aba6b,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-1024x683.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-ba6700e879.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-ba6700e879.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-ba6700e879.jpg,,,Information and Support,image/jpeg,ba6700e8792aba6bec5808301f7f183ace6563b5bb83d9177837fa1cb2c8b4f7,13,2026-08-31
image:529e9d2cdb6530a5,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-768x513.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-529e9d2cdb.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-529e9d2cdb.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-529e9d2cdb.jpg,,,Information and Support,image/jpeg,529e9d2cdb6530a56c72c3974b71c4ad17652eda6460262c50bde2b2667a0f77,13,2026-08-31
image:348b9b8c9f58362b,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-1536x1025.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-348b9b8c9f.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-348b9b8c9f.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-348b9b8c9f.jpg,,,Information and Support,image/jpeg,348b9b8c9f58362b8390f2871f1f09d06b482ee9914340113f5da843528a9def,13,2026-08-31
image:bca6a0283128b077,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-2048x1367.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-bca6a02831.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-bca6a02831.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-bca6a02831.jpg,,,Information and Support,image/jpeg,bca6a0283128b07712a90f84a4453426e19cdaf931e0f1ee8a0ffa428d211a4f,13,2026-08-31
image:12dc1e31115b09f0,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-75x50.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-12dc1e3111.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-12dc1e3111.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-12dc1e3111.jpg,,,Information and Support,image/jpeg,12dc1e31115b09f0142aeabda1c0734b1469ea263ccf5a52e9f31c3dec29a296,13,2026-08-31
image:6ec4bdc2328d2b7c,support_services,02_australian_support_services,mnd-south-australia:resources-information-and-support,Information and Support - MND South Australia,MND South Australia,https://mndsa.org.au/resources/information-and-support,https://mndsa.org.au/wp-content/uploads/2026/05/health-wellness-digital-tablet-concept-97x65.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND South Australia\Information and Support - MND South Australia-6ec4bdc232.jpg,images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-6ec4bdc232.jpg,/mnd-data/images/assets/02_australian_support_services/MND South Australia/Information and Support - MND South Australia-6ec4bdc232.jpg,,,Information and Support,image/jpeg,6ec4bdc2328d2b7c8cb86bfb14e6b2e551d21b974550c35112401a4b78b0e872,13,2026-08-31
image:81cb1a3cda5b31fa,support_services,02_australian_support_services,mnd-western-australia:page-90-respite-options,MNDAWA - Respite Options,MND Western Australia,https://www.mndawa.asn.au/page/90/respite-options,https://mndwamndwa.blob.core.windows.net/assets/contentpage_htmlcontent/carer-respite-wide.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND Western Australia\MNDAWA - Respite Options-81cb1a3cda.jpg,images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Respite Options-81cb1a3cda.jpg,/mnd-data/images/assets/02_australian_support_services/MND Western Australia/MNDAWA - Respite Options-81cb1a3cda.jpg,,,MNDAWA Advisors Service,image/jpg,81cb1a3cda5b31fa1ffe638f3de5feb36d9e5dc5281fd8cbbe5f1616205fff4f,13,2026-08-31
image:f395b73891a78f70,support_services,02_australian_support_services,carer-gateway:resource-carer-gateway-easy-read,Carer Gateway Easy Read Fact Sheet | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/resource/carer-gateway-easy-read,https://www.carergateway.gov.au/sites/default/files/styles/image_full_size/public/covers/1501-cover-er-fact-sheet.png?itok=WMidMxIh,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Photo of the cover of the easy read fact sheet-f395b73891.png,images/assets/02_australian_support_services/Carer Gateway/Photo of the cover of the easy read fact sheet-f395b73891.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Photo of the cover of the easy read fact sheet-f395b73891.png,Photo of the cover of the easy read fact sheet,,Carer Gateway easy read fact sheet DOCX [28.31 KB],image/png,f395b73891a78f708688cc083b700dea200b4618ef6530c5548fc03de0c6fb6f,12,2026-08-31
